Tempo Decorrido; Velocidade; Rotacao; Acelerador; Freio; Hodometro Parcial; Ref, Velo; Max Torque+; Max Torque-; Torque Motor;TempMos1; TempMos2; TempAr; TempMotor; Tensao Bat; Corrente Motor; Tensao Motor;  id; iq; idx; iqx; GPV; GIV; GDV; GPC; GIC; GPF; GIF; FluxoMax; Cod, Falha; Cod, Alarme; Estado de Teste; Ass, Rampa; Controle Cruzeiro;SOC; Corrente Pack; 
18,4;14,5;1382;;;;;;;;;;;;50,8;;;;;;;;;;;;;;;;;;;;;80,3;
18,5;15,1;1422;;;;;;;;;;;;50,5;;;;;;;;;;;;;;;;;;;;;98,7;
18,6;15,4;1480;;;;;;;;;;;;50,5;;;;;;;;;;;;;;;;;;;;;96,4;
18,7;16;1523;;;;;;;;;;;;50,6;;;;;;;;;;;;;;;;;;;;;100;
18,8;16,2;1558;;;;;;;;;;;;49,8;;;;;;;;;;;;;;;;;;;;;139;
18,9;19,1;1750;;;;;;;;;;;;47,1;;;;;;;;;;;;;;;;;;;;;359;
19;20,7;1913;;;;;;;;;;;;48,4;;;;;;;;;;;;;;;;;;;;;238,6;
19,1;22,8;2052;;;;;;;;;;;;49,2;;;;;;;;;;;;;;;;;;;;;153,8;
19,2;21,5;2101;;;;;;;;;;;;50,2;;;;;;;;;;;;;;;;;;;;;99,9;
19,3;21,3;2064;;;;;;;;;;;;50,1;;;;;;;;;;;;;;;;;;;;;117;
19,4;21,1;2045;;;;;;;;;;;;49,8;;;;;;;;;;;;;;;;;;;;;140,3;
19,5;20,7;2063;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;130,3;
19,6;21,7;2089;;;;;;;;;;;;49,4;;;;;;;;;;;;;;;;;;;;;166,1;
19,7;22,2;2096;;;;;;;;;;;;49,3;;;;;;;;;;;;;;;;;;;;;174,9;
19,8;21,9;2107;;;;;;;;;;;;49,4;;;;;;;;;;;;;;;;;;;;;153,8;
19,9;22,8;2160;;;;;;;;;;;;48,9;;;;;;;;;;;;;;;;;;;;;198,2;
20;23,2;2218;;;;;;;;;;;;48,7;;;;;;;;;;;;;;;;;;;;;201,4;
20,1;22,6;2188;;;;;;;;;;;;49,8;;;;;;;;;;;;;;;;;;;;;124;
20,2;22,4;2136;;;;;;;;;;;;49,5;;;;;;;;;;;;;;;;;;;;;145,9;
20,3;21,4;2115;;;;;;;;;;;;48,6;;;;;;;;;;;;;;;;;;;;;218,7;
20,4;22,2;2141;;;;;;;;;;;;47,5;;;;;;;;;;;;;;;;;;;;;268,9;
20,5;22,7;2171;;;;;;;;;;;;48;;;;;;;;;;;;;;;;;;;;;242,2;
20,6;21,7;2173;;;;;;;;;;;;49,6;;;;;;;;;;;;;;;;;;;;;122;
20,7;21,5;2116;;;;;;;;;;;;49,5;;;;;;;;;;;;;;;;;;;;;141,5;
20,8;20,5;2042;;;;;;;;;;;;49,5;;;;;;;;;;;;;;;;;;;;;131,4;
20,9;20,1;1983;;;;;;;;;;;;49,4;;;;;;;;;;;;;;;;;;;;;142,4;
21;17,4;1949;;;;;;;;;;;;49,7;;;;;;;;;;;;;;;;;;;;;136,1;
21,1;18,3;1845;;;;;;;;;;;;50,1;;;;;;;;;;;;;;;;;;;;;106,2;
21,2;17,1;1722;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;110,8;
21,3;15,7;1578;;;;;;;;;;;;49,8;;;;;;;;;;;;;;;;;;;;;117;
21,4;19,2;1658;;;;;;;;;;;;48,3;;;;;;;;;;;;;;;;;;;;;216,5;
21,5;15,9;1638;;;;;;;;;;;;50,8;;;;;;;;;;;;;;;;;;;;;48,1;
21,6;14,5;1541;;;;;;;;;;;;50,5;;;;;;;;;;;;;;;;;;;;;83,9;
21,7;13,1;1380;;;;;;;;;;;;50,5;;;;;;;;;;;;;;;;;;;;;75,9;
21,8;12,6;1253;;;;;;;;;;;;49,7;;;;;;;;;;;;;;;;;;;;;136,4;
21,9;12,6;1231;;;;;;;;;;;;49,5;;;;;;;;;;;;;;;;;;;;;138,6;
22;11,4;1237;;;;;;;;;;;;50,5;;;;;;;;;;;;;;;;;;;;;72,3;
22,1;11,8;1195;;;;;;;;;;;;50,7;;;;;;;;;;;;;;;;;;;;;63,5;
22,2;10,7;1131;;;;;;;;;;;;49,8;;;;;;;;;;;;;;;;;;;;;124,9;
22,3;10,8;1089;;;;;;;;;;;;50,4;;;;;;;;;;;;;;;;;;;;;83,4;
22,4;11,2;1064;;;;;;;;;;;;49,8;;;;;;;;;;;;;;;;;;;;;132,1;
22,5;11,9;1101;;;;;;;;;;;;48,9;;;;;;;;;;;;;;;;;;;;;188,2;
22,6;13,7;1247;;;;;;;;;;;;48,6;;;;;;;;;;;;;;;;;;;;;200,1;
22,7;12,2;1213;;;;;;;;;;;;50,2;;;;;;;;;;;;;;;;;;;;;93,9;
22,8;11,7;1163;;;;;;;;;;;;50,3;;;;;;;;;;;;;;;;;;;;;84,2;
22,9;11,4;1115;;;;;;;;;;;;49,7;;;;;;;;;;;;;;;;;;;;;127,3;
23;10,8;1072;;;;;;;;;;;;50,2;;;;;;;;;;;;;;;;;;;;;103,3;
23,1;9,5;992;;;;;;;;;;;;50,7;;;;;;;;;;;;;;;;;;;;;61,9;
23,2;9,2;913;;;;;;;;;;;;50,2;;;;;;;;;;;;;;;;;;;;;103;
23,3;8,2;869;;;;;;;;;;;;50,7;;;;;;;;;;;;;;;;;;;;;62,8;
23,4;7,2;773;;;;;;;;;;;;50,7;;;;;;;;;;;;;;;;;;;;;68,9;
23,5;6,6;687;;;;;;;;;;;;50,8;;;;;;;;;;;;;;;;;;;;;62,9;
23,6;6,2;625;;;;;;;;;;;;50,8;;;;;;;;;;;;;;;;;;;;;61,3;
23,7;6,9;633;;;;;;;;;;;;50,8;;;;;;;;;;;;;;;;;;;;;70,4;
23,8;6,6;653;;;;;;;;;;;;50,6;;;;;;;;;;;;;;;;;;;;;72,7;
23,9;7,1;669;;;;;;;;;;;;50,8;;;;;;;;;;;;;;;;;;;;;59,3;
24;6,7;673;;;;;;;;;;;;51,1;;;;;;;;;;;;;;;;;;;;;41,3;
24,1;6,8;651;;;;;;;;;;;;51,1;;;;;;;;;;;;;;;;;;;;;45;
24,2;6,1;614;;;;;;;;;;;;51,2;;;;;;;;;;;;;;;;;;;;;31,6;
24,3;5,1;531;;;;;;;;;;;;51,7;;;;;;;;;;;;;;;;;;;;;-1,7;
24,4;2,4;348;;;;;;;;;;;;51,7;;;;;;;;;;;;;;;;;;;;;0,2;
24,5;0,7;144;;;;;;;;;;;;51,7;;;;;;;;;;;;;;;;;;;;;-0,1;
24,6;2,1;171;;;;;;;;;;;;51,7;;;;;;;;;;;;;;;;;;;;;1,1;
24,7;2,4;216;;;;;;;;;;;;51,8;;;;;;;;;;;;;;;;;;;;;0,4;
24,8;1,9;205;;;;;;;;;;;;51,8;;;;;;;;;;;;;;;;;;;;;-0,1;
24,9;2,7;228;;;;;;;;;;;;51,8;;;;;;;;;;;;;;;;;;;;;0,4;
25;3,6;294;;;;;;;;;;;;51,8;;;;;;;;;;;;;;;;;;;;;0,8;
25,1;3,5;336;;;;;;;;;;;;51,8;;;;;;;;;;;;;;;;;;;;;0,3;
25,2;2,9;328;;;;;;;;;;;;51,9;;;;;;;;;;;;;;;;;;;;;0,3;
25,3;3,3;316;;;;;;;;;;;;51,8;;;;;;;;;;;;;;;;;;;;;0,2;
25,4;3,3;312;;;;;;;;;;;;51,9;;;;;;;;;;;;;;;;;;;;;-0,1;
25,5;3,4;308;;;;;;;;;;;;51,9;;;;;;;;;;;;;;;;;;;;;0,3;
25,6;3,6;338;;;;;;;;;;;;51,9;;;;;;;;;;;;;;;;;;;;;0,3;
25,7;3,8;361;;;;;;;;;;;;51,9;;;;;;;;;;;;;;;;;;;;;0,3;
25,8;3,3;355;;;;;;;;;;;;51,9;;;;;;;;;;;;;;;;;;;;;-0,1;
25,9;2,9;306;;;;;;;;;;;;51,9;;;;;;;;;;;;;;;;;;;;;0,3;
